timestamp_ms,rssi,snr,FlightState,dual_board_connectivity_state_flag,recovery_checks_complete_and_flight_ready,GPS_fix_flag,payload_connection_flag,camera_controller_connection_flag,GPS_latitude,GPS_longitude,nav_status,qw,qx,qy,qz
45316,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9878,0.15547,-0.0023,0.00553
45318,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9879,0.15487,-0.00237,0.00527
45320,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9879,0.15477,-0.00257,0.0052
45322,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98793,0.1547,-0.00287,0.00513
45324,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98797,0.15433,-0.00317,0.00497
45326,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98803,0.15397,-0.0033,0.00513
45328,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98807,0.1538,-0.00347,0.00533
45330,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98807,0.15377,-0.0035,0.0053
45332,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98813,0.1533,-0.00323,0.00507
45334,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9882,0.15287,-0.0029,0.00507
45336,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98823,0.15277,-0.00273,0.0049
45338,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98827,0.15253,-0.00303,0.00463
45340,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98833,0.1521,-0.0034,0.00453
45342,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98837,0.1519,-0.00353,0.00443
45344,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9884,0.15157,-0.004,0.00437
45346,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98847,0.1511,-0.00457,0.0042
45348,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.9885,0.151,-0.0047,0.00413
45350,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,123,123,NA,0.98853,0.15087,-0.00453,0.0041
