timestamp_ms,rssi,snr,FlightState,dual_board_connectivity_state_flag,recovery_checks_complete_and_flight_ready,GPS_fix_flag,payload_connection_flag,camera_controller_connection_flag,accel_low_x,accel_low_y,accel_low_z,accel_high_x,accel_high_y,accel_high_z,gyro_x,gyro_y,gyro_z,altitude,velocity,apogee_primary_test_complete,apogee_secondary_test_complete,apogee_primary_test_results,apogee_secondary_test_results,main_primary_test_complete,main_secondary_test_complete,main_primary_test_results,main_secondary_test_results,broadcast_flag
51098,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.02,0,0,-0.02,0,0,-75.3,5.6,-1.2,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51100,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.03,-0.02,0,-0.03,-0.02,0,-75.2,5.7,-1.4,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51102,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.01,0,0,-0.01,0,-75.6,5.6,-1.3,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51104,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.02,-0.01,0,-0.02,-0.01,0,-75.4,5.8,-1.2,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51106,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.04,0,0,-0.04,0,0,-75.5,5.5,-1.1,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51108,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.01,0,0,-0.01,0,-75.4,5.6,-1.2,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51110,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.07,-0.01,0,-0.07,-0.01,0,-75.6,5.6,-1.1,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51112,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0.02,0,0,0.02,-75.4,5.9,-0.9,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51114,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.01,0,0,-0.01,0,0,-75.6,5.6,-1.1,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51116,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.03,0,0.01,-0.03,0,0.01,-75.2,5.9,-1,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51118,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.03,0,0,-0.03,0,0,-75.9,5.6,-1,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51120,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.07,0,0.02,-0.07,0,0.02,-75.4,5.8,-0.9,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51122,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.01,0,-0.01,0.01,0,-0.01,-75.7,5.6,-1.1,494.6,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51124,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.06,-0.01,0,-0.06,-0.01,0,-75.5,5.6,-1.1,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51126,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.01,-0.02,0,-0.01,-0.02,-75.6,5.6,-1.1,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51128,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.06,-0.01,0.01,-0.06,-0.01,0.01,-75.5,5.6,-1,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51130,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.06,-0.01,0,-0.06,-0.01,0,-75.5,5.6,-1.1,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51132,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.03,0,0.01,-0.03,0,0.01,-75.8,5.7,-1.1,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51134,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.03,-0.01,0.01,-0.03,-0.01,0.01,-75.7,5.8,-0.9,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51136,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.01,0.01,0,-0.01,0.01,-75.6,5.8,-0.8,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51138,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.07,-0.01,0,-0.07,-0.01,0,-75.9,5.9,-0.8,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51140,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,-0.01,0,0,-0.01,-75.9,5.6,-0.8,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51142,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.05,-0.01,0,-0.05,-0.01,0,-76.1,5.6,-0.9,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51144,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,-0.01,-0.01,0,-0.01,-0.01,-75.8,5.7,-0.9,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51146,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.07,0,0.02,-0.07,0,0.02,-75.6,5.8,-0.7,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51148,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.02,-0.01,0,-0.02,-0.01,0,-75.9,5.6,-1.2,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51150,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.05,0,0.02,-0.05,0,0.02,-76,5.8,-1,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51152,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.06,-0.01,0,-0.06,-0.01,0,-75.6,5.7,-0.7,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51154,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0.01,0,0,0.01,-76.1,5.6,-0.8,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51156,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.05,-0.01,-0.01,-0.05,-0.01,-0.01,-75.7,5.8,-0.9,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51158,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.02,-0.02,0,0.02,-0.02,0,-76.1,5.7,-0.8,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51160,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.06,-0.01,-0.01,-0.06,-0.01,-0.01,-75.6,5.7,-0.6,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51162,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.01,0,0.01,0.01,0,0.01,-76,5.9,-0.9,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51164,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.03,0,-0.01,-0.03,0,-0.01,-76,5.8,-0.7,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51166,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.02,0,0,-0.02,0,0,-75.9,5.8,-0.7,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51168,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.04,-0.01,-0.01,-0.04,-0.01,-0.01,-76.2,5.7,-0.7,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51170,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.07,0,0.01,-0.07,0,0.01,-75.9,5.9,-0.6,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51172,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0.01,0,-0.01,0.01,0,-0.01,-76.1,5.7,-0.7,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51174,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.05,-0.01,0.01,-0.05,-0.01,0.01,-76.3,5.6,-0.7,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51176,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,-0.01,0,0,-0.01,-76.2,5.6,-0.8,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51178,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.07,-0.01,0,-0.07,-0.01,0,-75.8,5.9,-0.7,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51180,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.04,-0.01,-0.03,-0.04,-0.01,-0.03,-76.1,5.7,-0.7,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51182,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.03,-0.01,0.02,-0.03,-0.01,0.02,-76.3,5.9,-0.7,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51184,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-0.02,-0.01,-0.01,-0.02,-0.01,-0.01,-76,5.9,-0.6,497.7,-17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
