timestamp_ms,rssi,snr,manual_purge_activated,o2_fill_activated,selector_switch_neutral_position,n20_fill_activated,ignition_fired,ignition_selected,gas_fill_selected,system_activated,internal_temp,wind_speed,gas_bottle_weight_1,gas_bottle_weight_2,analog_voltage_input_1,analog_voltage_input_2,additional_current_input_1,additional_current_input_2,ignition_error,relay_3_error,relay_2_error,relay_1_error,thermocouple_4_error,thermocouple_3_error,thermocouple_2_error,thermocouple_1_error,load_cell_4_error,load_cell_3_error,load_cell_2_error,load_cell_1_error,transducer_4_error,transducer_3_error,transducer_2_error,transducer_1_error
1913799.925,-83.0,10.0,False,False,False,False,False,False,False,False,17.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1919210.057,-81.0,1.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1924240.525,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,15432,3201,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1925865.055,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.0,0.0,0.012210012413561344,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1927490.1979999999,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1928359.807,-83.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1931117.878,-83.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1932742.6539999999,-83.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1934366.5410000002,-83.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1935990.535,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,15432,3201,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1938749.355,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1939617.4470000002,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1941241.661,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1942111.508,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1944870.2189999998,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1946494.8429999999,-83.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1949256.275,-82.0,10.0,False,False,False,True,False,False,True,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1950881.664,-82.0,10.0,False,False,False,True,False,False,True,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1955156.483,-82.0,10.0,False,False,False,True,False,False,True,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1960564.52,-82.0,10.0,False,True,False,False,False,True,False,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1965972.973,-82.0,10.0,False,True,False,False,False,True,False,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1971381.831,-82.0,10.0,False,True,False,False,False,True,False,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1976789.377,-82.0,10.0,False,True,False,False,False,True,False,True,17.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1982193.396,-82.0,10.0,False,True,False,False,False,True,False,True,17.0,0.0,0,0,0.0,0.0,0.012210012413561344,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1984950.2680000002,-82.0,10.0,False,True,False,False,False,True,False,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1987710.0680000002,-82.0,10.0,False,True,False,False,False,True,False,True,17.0,0.0,15432,3201,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1989333.561,-82.0,10.0,False,True,False,False,False,True,False,True,17.0,0.0,15432,3201,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1990203.087,-82.0,10.0,False,True,False,False,False,True,False,True,17.0,0.0,15432,3201,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1992960.757,-82.0,10.0,False,True,False,False,False,True,False,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1994583.986,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1995453.885,-82.0,11.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1997075.5,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,15432,3201,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1998700.8630000001,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1999571.406,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2001194.218,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2003954.0159999998,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2005954.778,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.0,0.0,0.012210012413561344,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2008711.9780000001,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2010335.255,-83.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011957.993,-83.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2013581.5909999998,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015203.8460000001,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2017962.396,-83.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.0,0.0,0.012210012413561344,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018828.77,-82.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.0,0.0,0.012210012413561344,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020451.286,-83.0,10.0,False,False,False,False,False,False,False,True,17.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2023209.35,-82.0,10.0,False,False,False,False,False,False,False,True,18.0,0.0,0,0,0.012210012413561344,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
