timestamp_ms_log_time,rssi,snr,timestamp_s_server_side,total_packet_count_av,total_packet_count_gse,FlightState,dual_board_connectivity_state_flag,recovery_checks_complete_and_flight_ready,GPS_fix_flag,payload_connection_flag,camera_controller_connection_flag,accel_low_x,accel_low_y,accel_low_z,accel_high_x,accel_high_y,accel_high_z,gyro_x,gyro_y,gyro_z,altitude,velocity,apogee_primary_test_complete,apogee_secondary_test_complete,apogee_primary_test_results,apogee_secondary_test_results,main_primary_test_complete,main_secondary_test_complete,main_primary_test_results,main_secondary_test_results,broadcast_flag
174734.932,-98.0,3.0,174.86138916015625,78,0,0,False,False,False,False,False,0.01025390625,0.029296875,-0.9873046875,-0.0341796875,-0.048828125,1.0390625,0.11375000327825546,-0.33250001072883606,-1.8287500143051147,2.5999755859375,0.0,False,False,False,False,False,False,False,False,False
175184.947,-98.0,2.0,175.3114013671875,80,0,0,False,False,False,False,False,-0.06005859375,0.068359375,-0.9794921875,0.00390625,-0.0673828125,1.044921875,0.5512499809265137,-0.2800000011920929,0.7350000143051147,2.5,0.0,False,False,False,False,False,False,False,False,False
175635.142,-99.0,2.0,175.76156616210938,82,0,0,False,False,False,False,False,0.0244140625,0.01025390625,-0.9873046875,-0.07421875,-0.05078125,1.015625,0.65625,-0.32374998927116394,0.16625000536441803,2.5,0.0,False,False,False,False,False,False,False,False,False
176085.005,-99.0,1.0,176.21145629882812,84,0,0,False,False,False,False,False,-0.04541015625,0.07421875,-0.984375,0.0048828125,-0.0986328125,1.037109375,-1.1112500429153442,-0.13124999403953552,0.9275000095367432,2.5,0.0,False,False,False,False,False,False,False,False,False
176535.08299999998,-99.0,2.0,176.6614990234375,86,0,0,False,False,False,False,False,-0.01416015625,0.03662109375,-1.00439453125,-0.029296875,-0.056640625,1.05078125,-0.23624999821186066,0.09624999761581421,-0.9712499976158142,2.5,0.0,False,False,False,False,False,False,False,False,False
176985.06900000002,-98.0,2.0,177.11151123046875,88,0,0,False,False,False,False,False,-0.00146484375,0.07666015625,-0.98193359375,-0.0419921875,-0.0849609375,1.0380859375,-0.7175000309944153,-0.8400000333786011,-2.3975000381469727,2.4000244140625,0.0,False,False,False,False,False,False,False,False,False
177435.244,-98.0,2.0,177.56167602539062,90,0,0,False,False,False,False,False,-0.04150390625,0.0595703125,-0.99560546875,-0.0068359375,-0.0791015625,1.0595703125,0.11375000327825546,0.5862500071525574,-0.061250001192092896,2.4000244140625,0.0,False,False,False,False,False,False,False,False,False
177885.10299999997,-99.0,1.0,178.01156616210938,92,0,0,False,False,False,False,False,-0.00927734375,-0.00537109375,-1.00244140625,-0.046875,-0.037109375,1.0419921875,-0.3675000071525574,0.026250001043081284,-0.7524999976158142,2.4000244140625,0.0,False,False,False,False,False,False,False,False,False
178335.171,-98.0,2.0,178.461669921875,94,0,0,False,False,False,False,False,-0.0625,0.07568359375,-0.9912109375,0.0107421875,-0.1044921875,1.0361328125,-0.19249999523162842,-0.38499999046325684,-0.13124999403953552,2.4000244140625,0.0,False,False,False,False,False,False,False,False,False
178785.157,-99.0,2.0,178.91162109375,96,0,0,False,False,False,False,False,-0.0048828125,0.02685546875,-0.98193359375,-0.0400390625,-0.0498046875,1.048828125,-0.29750001430511475,0.6650000214576721,0.3675000071525574,2.4000244140625,0.0,False,False,False,False,False,False,False,False,False
179235.31900000002,-97.0,1.0,179.36178588867188,98,0,0,False,False,False,False,False,-0.01708984375,0.0283203125,-0.9912109375,-0.021484375,-0.052734375,1.033203125,-0.3062500059604645,-0.3149999976158142,-1.5399999618530273,2.4000244140625,0.0,False,False,False,False,False,False,False,False,False
179685.226,-96.0,2.0,179.81166076660156,100,0,0,False,False,False,False,False,-0.0380859375,0.06591796875,-0.984375,-0.005859375,-0.083984375,1.03515625,0.699999988079071,0.2887499928474426,0.16625000536441803,2.4000244140625,0.0,False,False,False,False,False,False,False,False,False
180135.235,-95.0,2.0,180.26170349121094,102,0,0,False,False,False,False,False,0.01123046875,0.01953125,-0.99609375,-0.0595703125,-0.0576171875,1.0390625,-0.5074999928474426,0.3149999976158142,-1.0499999523162842,2.29998779296875,0.0,False,False,False,False,False,False,False,False,False
180585.289,-102.0,-1.0,180.71173095703125,104,0,0,False,False,False,False,False,-0.04541015625,0.095703125,-0.96630859375,-0.0068359375,-0.107421875,1.0244140625,-0.3499999940395355,0.22750000655651093,1.5837500095367432,2.29998779296875,0.0,False,False,False,False,False,False,False,False,False
181035.44400000002,-113.0,-15.0,181.16188049316406,106,0,0,False,False,False,False,False,-0.005859375,0.03955078125,-0.9990234375,-0.03125,-0.0625,1.0576171875,-0.12250000238418579,-0.42875000834465027,0.9800000190734863,2.29998779296875,0.0,False,False,False,False,False,False,False,False,False
267888.624,-106.0,-14.0,268.0150146484375,107,0,0,False,False,False,False,False,0.01953125,0.05810546875,-0.9921875,-0.046875,-0.07421875,1.0419921875,0.07000000029802322,0.12250000238418579,0.10500000417232513,6.0999755859375,0.0,False,False,False,False,False,False,False,False,False
